Curriculum,CONDENSED,,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
637633,"SE 131A","","","3318649628;32493104;3830990624",,,4,"",",SE27FI,SE27FI,SE27MU,SE27MU,SE27RE,SE27RE,SE27SI,SE27SI,SE27SN,SE27SN,SE27TH,SE27TH,SE27WA,SE27WA,SE27curriculum,SE27curriculum",
4919468,"UD LTGK /UD LTLA","","",,,,4,"",",CL25FI,CL25MU,CL25RE,CL25SI,CL25SN,CL25TH,CL25WA,CL25curriculum",
7180282,"NANO 102","","","4249881180",,,4,"",",NA25FI,NA25FI,NA25FI,NA25FI,NA25MU,NA25MU,NA25MU,NA25MU,NA25RE,NA25RE,NA25RE,NA25RE,NA25SI,NA25SI,NA25SI,NA25SI,NA25SN,NA25SN,NA25SN,NA25SN,NA25TH,NA25TH,NA25TH,NA25TH,NA25WA,NA25WA,NA25WA,NA25WA,NA25curriculum,NA25curriculum,NA25curriculum,NA25curriculum",
15573887,"ELECTIVE 1","","",,,,4,"",",AA25MU,AA25RE,AA25TH,AN26FI,AN26MU,AN26RE,AN26SI,AN26TH,AN26WA,AN27FI,AN27MU,AN27RE,AN27SI,AN27TH,AN27WA,AN28FI,AN28MU,AN28RE,AN28SI,AN28TH,AN28WA,AN29FI,AN29MU,AN29RE,AN29TH,AN29WA,AN30FI,AN30MU,AN30RE,AN30TH,AN30WA,BI30FI,BI30MU,BI30SI,BI30TH,BI30WA,BI31FI,BI31SI,BI31TH,BI32FI,BI32SI,BI32TH,BI34SI,BI34TH,BI35SI,BI35TH,BI37SI,BI37TH,BI38SI,BI38TH,CG25FI,CG25MU,CG25SI,CG25TH,CG25WA,CG29FI,CG29MU,CG29SI,CG29TH,CG29WA,CG31FI,CG31MU,CG31SI,CG31TH,CG31WA,CG32FI,CG32MU,CG32RE,CG32SI,CG32TH,CG32WA,CG33FI,CG33MU,CG33SI,CG33TH,CG33WA,CG34FI,CG34MU,CG34SI,CG34TH,CG34WA,CG35FI,CG35MU,CG35SI,CG35TH,CG35WA,CH25FI,CH25MU,CH25SI,CH25TH,CH34FI,CH34MU,CH34SI,CH34TH,CH35TH,CH36FI,CH36SI,CH36TH,CH38TH,CL25FI,CL25MU,CL25RE,CL25SI,CL25TH,CL25WA,CM26FI,CM26MU,CM26RE,CM26SI,CM26TH,CM26WA,CN25FI,CN25MU,CN25RE,CN25SI,CN25TH,CN25WA,CR25FI,CR25MU,CR25RE,CR25SI,CR25TH,CR25WA,CS26MU,CS26SI,CS26TH,CS26WA,DS25MU,DS25SI,DS25TH,ED25FI,ED25MU,ED25RE,ED25SI,ED25TH,ED25WA,EN25FI,EN25MU,EN25RE,EN25SI,EN25TH,EN25WA,EN28FI,EN28MU,EN28RE,EN28SI,EN28TH,EN28WA,EN30FI,EN30MU,EN30RE,EN30SI,EN30TH,EN30WA,ES25MU,ES25RE,ES25SI,ES25TH,ES25WA,ES26MU,ES26RE,ES26SI,ES26TH,ES26WA,ES27MU,ES27SI,ES27TH,ES28MU,ES28RE,ES28SI,ES28TH,ES28WA,ET25FI,ET25MU,ET25RE,ET25SI,ET25TH,ET25WA,GH25FI,GH25MU,GH25RE,GH25SI,GH25TH,GH25WA,GH26FI,GH26RE,GH26SI,GH26TH,GH26WA,GL25FI,GL25MU,GL25RE,GL25SI,GL25TH,GL25WA,GS25FI,GS25MU,GS25RE,GS25SI,GS25TH,GS25WA,HI25FI,HI25MU,HI25RE,HI25SI,HI25TH,HI25WA,HS25FI,HS25MU,HS25RE,HS25SI,HS25TH,HS26FI,HS26MU,HS26RE,HS26SI,HS26TH,HS27FI,HS27MU,HS27RE,HS27SI,HS27TH,HS27WA,HS28FI,HS28MU,HS28RE,HS28SI,HS28TH,HS28WA,IS25FI,IS25MU,IS25RE,IS25SI,IS25TH,IS25WA,IS26FI,IS26MU,IS26SI,IS26TH,IS27FI,IS27MU,IS27RE,IS27SI,IS27TH,IS27WA,IS28FI,IS28MU,IS28RE,IS28SI,IS28TH,IS28WA,IS29FI,IS29MU,IS29RE,IS29SI,IS29TH,IS29WA,IS30FI,IS30MU,IS30RE,IS30SI,IS30TH,IS30WA,IS31FI,IS31MU,IS31RE,IS31SI,IS31TH,IS31WA,IS34FI,IS34MU,IS34SI,IS34TH,IS36FI,IS36MU,IS36RE,IS36SI,IS36TH,IS36WA,IT25FI,IT25MU,IT25RE,IT25SI,IT25TH,IT25WA,JA25FI,JA25MU,JA25SI,JA25TH,JA25WA,JS25FI,JS25MU,JS25RE,JS25SI,JS25TH,JS25WA,LA25FI,LA25MU,LA25RE,LA25SI,LA25TH,LA25WA,LA26FI,LA26MU,LA26RE,LA26SI,LA26TH,LA26WA,LA27FI,LA27MU,LA27RE,LA27SI,LA27TH,LA27WA,LN25FI,LN25MU,LN25RE,LN25SI,LN25TH,LN25WA,LN29FI,LN29MU,LN29RE,LN29SI,LN29TH,LN29WA,LN32FI,LN32MU,LN32RE,LN32SI,LN32TH,LN32WA,LN33FI,LN33MU,LN33RE,LN33SI,LN33TH,LN33WA,LN34FI,LN34MU,LN34RE,LN34SI,LN34TH,LN34WA,LT33FI,LT33RE,LT33SI,LT33TH,LT33WA,LT34FI,LT34SI,LT34TH,LT34WA,LT36FI,LT36SI,LT36TH,LT36WA,LT41FI,LT41RE,LT41SI,LT41TH,LT41WA,MA27FI,MA27RE,MA27SI,MA27TH,MA27WA,MA29FI,MA29RE,MA29SI,MA29TH,MA29WA,MA30FI,MA30SI,MA30TH,MA30WA,MA31FI,MA31RE,MA31SI,MA31TH,MA31WA,MA32FI,MA32RE,MA32SI,MA32TH,MA32WA,MA33FI,MA33RE,MA33SI,MA33TH,MA33WA,MA35FI,MA35RE,MA35SI,MA35TH,MA35WA,MU25FI,MU25SI,MU25TH,MU25WA,MU26FI,MU26SI,MU26TH,MU26WA,MU27FI,MU27SI,MU27TH,MU27WA,PB25MU,PB25RE,PB25TH,PB25WA,PB26TH,PB26WA,PB27MU,PB27RE,PB27TH,PB27WA,PB28MU,PB28RE,PB28TH,PB28WA,PB29MU,PB29RE,PB29SI,PB29TH,PB29WA,PB30MU,PB30RE,PB30SI,PB30TH,PB30WA,PB31MU,PB31RE,PB31SI,PB31TH,PC25FI,PC25MU,PC25RE,PC25SI,PC25TH,PC25WA,PC26FI,PC26MU,PC26RE,PC26SI,PC26TH,PC26WA,PC28FI,PC28MU,PC28RE,PC28SI,PC28TH,PC28WA,PC29FI,PC29MU,PC29RE,PC29SI,PC29TH,PC29WA,PC30FI,PC30MU,PC30RE,PC30SI,PC30TH,PC30WA,PC31FI,PC31MU,PC31RE,PC31SI,PC31TH,PC31WA,PC32FI,PC32MU,PC32RE,PC32SI,PC32TH,PC32WA,PC33FI,PC33MU,PC33RE,PC33SI,PC33TH,PC33WA,PC34FI,PC34MU,PC34RE,PC34SI,PC34TH,PC34WA,PC35FI,PC35MU,PC35RE,PC35SI,PC35TH,PC35WA,PL25FI,PL25RE,PL25SI,PL25TH,PL25WA,PS25FI,PS25MU,PS25RE,PS25SI,PS25TH,PS25WA,PS26FI,PS26MU,PS26RE,PS26SI,PS26TH,PS26WA,PS27FI,PS27MU,PS27RE,PS27SI,PS27TH,PS27WA,PS28FI,PS28MU,PS28RE,PS28SI,PS28TH,PS28WA,PS29FI,PS29MU,PS29RE,PS29SI,PS29TH,PS29WA,PS30FI,PS30MU,PS30RE,PS30SI,PS30TH,PS30WA,PS31FI,PS31RE,PS31SI,PS31TH,PS31WA,PS32FI,PS32RE,PS32SI,PS32TH,PS32WA,PS34FI,PS34RE,PS34SI,PS34TH,PS34WA,PY28SI,PY28TH,PY29SI,PY29TH,PY30MU,PY30SI,PY30TH,PY31MU,PY31SI,PY31TH,PY32MU,PY32SI,PY32TH,PY33MU,PY33SI,PY33TH,PY34MU,PY34SI,PY34TH,RE26FI,RE26MU,RE26RE,RE26SI,RE26TH,RE26WA,RU26FI,RU26RE,RU26SI,RU26TH,RU26WA,SI29MU,SI29SI,SI29TH,SI30MU,SI30SI,SI30TH,SI30WA,SI31MU,SI31RE,SI31SI,SI31TH,SI31WA,SO25FI,SO25MU,SO25RE,SO25SI,SO25TH,SO25WA,SO27FI,SO27MU,SO27RE,SO27SI,SO27TH,SO27WA,SO28FI,SO28MU,SO28RE,SO28SI,SO28TH,SO28WA,SO29FI,SO29MU,SO29RE,SO29SI,SO29TH,SO29WA,SO30FI,SO30MU,SO30RE,SO30SI,SO30TH,SO30WA,SO31FI,SO31MU,SO31RE,SO31SI,SO31TH,SO31WA,SO32FI,SO32MU,SO32RE,SO32SI,SO32TH,SO32WA,SO33FI,SO33MU,SO33RE,SO33SI,SO33TH,SO33WA,TH26FI,TH26MU,TH26SI,TH26TH,TH26WA,TH27FI,TH27MU,TH27SI,TH27TH,TH27WA,UN27RE,UNHARE,UNPSRE,UNSSRE,US26FI,US26MU,US26RE,US26SI,US26TH,US26WA,US27FI,US27MU,US27SI,US27TH,US27WA,VA26FI,VA26MU,VA26SI,VA26TH,VA26WA,VA27FI,VA27MU,VA27SI,VA27TH,VA27WA,VA28FI,VA28MU,VA28RE,VA28SI,VA28TH,VA28WA,VA29FI,VA29MU,VA29SI,VA29TH,VA29WA,VA30FI,VA30MU,VA30RE,VA30SI,VA30TH,VA30WA",
18668587,"LD Major Prep 2","","",,,,4,"",",HS25FI,HS25MU,HS25SI,HS25SN,HS25TH,HS25WA,HS25curriculum,HS26FI,HS26MU,HS26SI,HS26SN,HS26TH,HS26WA,HS26curriculum,HS27FI,HS27MU,HS27SI,HS27SN,HS27TH,HS27WA,HS27curriculum,HS28FI,HS28MU,HS28SI,HS28SN,HS28TH,HS28WA,HS28curriculum",
19605639,"UD GH Core Course 4","","",,,,4,"",",GH25FI,GH25MU,GH25RE,GH25SI,GH25SN,GH25TH,GH25WA,GH25curriculum,GH26FI,GH26MU,GH26RE,GH26SI,GH26SN,GH26TH,GH26WA,GH26curriculum",
19879669,"ESYS MAJOR ELECTIVE 1","","",,,,4,"",",ES25FI,ES25MU,ES25RE,ES25SI,ES25SN,ES25TH,ES25WA,ES25curriculum,ES26FI,ES26MU,ES26RE,ES26SI,ES26SN,ES26TH,ES26WA,ES26curriculum,ES27FI,ES27MU,ES27RE,ES27SI,ES27SN,ES27TH,ES27WA,ES27curriculum,ES28FI,ES28MU,ES28RE,ES28SI,ES28SN,ES28TH,ES28WA,ES28curriculum",
20231241,"MAE 175A","","","2250458268;2736978934;2377833625",,,4,"",",MC25FI,MC25MU,MC25RE,MC25SI,MC25SN,MC25TH,MC25WA,MC25curriculum",
22480640,"ELECTIVE 9","","",,,,4,"",",AA25MU,AA25TH,AN26FI,AN26MU,AN26SI,AN26TH,AN26WA,AN27FI,AN27MU,AN27SI,AN27TH,AN27WA,AN28FI,AN28MU,AN28SI,AN28TH,AN28WA,AN29FI,AN29MU,AN29TH,AN29WA,AN30FI,AN30MU,AN30TH,AN30WA,CG25SI,CG29SI,CG31SI,CG32MU,CG32SI,CG32TH,CG33SI,CG34SI,CG35SI,CL25FI,CL25MU,CM26FI,CM26MU,CM26SI,CM26TH,CM26WA,CN25FI,CN25MU,CN25SI,CN25TH,CN25WA,CR25FI,CR25MU,CR25SI,CR25TH,CR25WA,ED25FI,ED25MU,ED25SI,ED25TH,ED25WA,EN25FI,EN25MU,EN25SI,EN25TH,EN25WA,EN28MU,EN28SI,EN28TH,EN30MU,EN30SI,EN30TH,ES26SI,ES28SI,ES28TH,ET25FI,ET25MU,ET25SI,ET25TH,ET25WA,GH25FI,GH25MU,GH25SI,GH25TH,GH25WA,GH26SI,GL25FI,GL25MU,GL25SI,GL25TH,GL25WA,GS25FI,GS25MU,GS25TH,HI25FI,HI25MU,HI25SI,HI25TH,HI25WA,HS25FI,HS25MU,HS25SI,HS25TH,HS26FI,HS26MU,HS26SI,HS27FI,HS27MU,HS27SI,HS28FI,HS28MU,HS28SI,IS25MU,IS25SI,IS27SI,IS28SI,IS29SI,IS30SI,IS36SI,IT25FI,IT25MU,IT25SI,IT25TH,JS25FI,JS25MU,JS25RE,JS25SI,JS25TH,JS25WA,LA25FI,LA25MU,LA25SI,LA25TH,LA26FI,LA26MU,LA26SI,LA26TH,LA26WA,LA27FI,LA27MU,LA27SI,LA27TH,LN25FI,LN25MU,LN25SI,LN25TH,LN25WA,LN29FI,LN29MU,LN29SI,LN29TH,LN29WA,LN32FI,LN32MU,LN32SI,LN32TH,LN32WA,LN33FI,LN33MU,LN33SI,LN34FI,LN34MU,LN34SI,LN34TH,LN34WA,LT33FI,LT33SI,MA27SI,MA27TH,MA27WA,MA29FI,MA29SI,MA29TH,MA29WA,MA31SI,MA31TH,MA32FI,MA32SI,MA32TH,MA32WA,MA33SI,MA33TH,MA35SI,MA35TH,MU26SI,MU27SI,MU27TH,PB25MU,PB25TH,PB28MU,PB28TH,PB29MU,PB29SI,PB29TH,PB30MU,PB30SI,PB30TH,PC25FI,PC25MU,PC25SI,PC25TH,PC25WA,PC26FI,PC26MU,PC26SI,PC26TH,PC28FI,PC28MU,PC28SI,PC28TH,PC29FI,PC29MU,PC29SI,PC29TH,PC30FI,PC30MU,PC30SI,PC30TH,PC31FI,PC31MU,PC31SI,PC31TH,PC32FI,PC32MU,PC32SI,PC32TH,PC33FI,PC33MU,PC33SI,PC33TH,PC34SI,PC34TH,PC35MU,PC35SI,PC35TH,PL25FI,PL25SI,PL25TH,PL25WA,PS25FI,PS25MU,PS25SI,PS25TH,PS25WA,PS26FI,PS26MU,PS26SI,PS26TH,PS26WA,PS27FI,PS27MU,PS27SI,PS27TH,PS27WA,PS28FI,PS28MU,PS28SI,PS28TH,PS28WA,PS29FI,PS29MU,PS29SI,PS29TH,PS29WA,PS30FI,PS30MU,PS30SI,PS30TH,PS30WA,PS31FI,PS31SI,PS31TH,PS31WA,PS32FI,PS32SI,PS32TH,PS32WA,PS34FI,PS34SI,PS34TH,PS34WA,RE26FI,RE26MU,RE26SI,RE26TH,RE26WA,RU26FI,RU26SI,RU26TH,RU26WA,SO25FI,SO25MU,SO25SI,SO25TH,SO25WA,SO27FI,SO27MU,SO27SI,SO27TH,SO27WA,SO28MU,SO28SI,SO28TH,SO28WA,SO29FI,SO29MU,SO29SI,SO29TH,SO29WA,SO30FI,SO30MU,SO30SI,SO30TH,SO30WA,SO31FI,SO31MU,SO31SI,SO31TH,SO31WA,SO32FI,SO32MU,SO32SI,SO32TH,SO32WA,SO33FI,SO33MU,SO33SI,SO33TH,SO33WA,TH26SI,TH27MU,TH27SI,US26MU,US26SI,US26TH,US26WA,US27SI,US27TH,VA26MU,VA26SI,VA26TH,VA27MU,VA27SI,VA27TH,VA28FI,VA28MU,VA28SI,VA28TH,VA28WA,VA29FI,VA29MU,VA29SI,VA29TH,VA30SI,VA30TH",
26264068,"MUS 120A","","","2731646793;1000149118",,,4,"",",MU25FI,MU25FI,MU25MU,MU25MU,MU25RE,MU25RE,MU25SI,MU25SI,MU25SN,MU25SN,MU25TH,MU25TH,MU25WA,MU25WA,MU25curriculum,MU25curriculum,MU26FI,MU26FI,MU26MU,MU26MU,MU26RE,MU26RE,MU26SI,MU26SI,MU26SN,MU26SN,MU26TH,MU26TH,MU26WA,MU26WA,MU26curriculum,MU26curriculum",
